resolved_domain,text,created_at,author_id,twtid
site-index.net,11,819,708,823
kenkyuukai.jp,2,533,536,536
bonafidr.com,68,225,202,225
indeep.jp,113,184,171,184
toba60.com,7,116,114,116
semaine.la,2,94,94,94
dyndns.org,10,86,80,87
fakemedia.info,81,82,81,82
victimasdelospoliticos.org,39,43,18,43
madridmarket.es,38,41,33,41
preciouslife.com,2,39,39,39
shanti-phula.net,22,34,32,34
stopmedicaldiscrimination.org,27,28,3,28
finansavisen.no,26,26,8,26
getrr.com,11,25,1,25
luna-organic.org,2,21,21,21
uspharmacist.com,20,20,1,20
fearunmasked.com,20,20,1,20
gov.com,18,19,5,19
peoplealwayswin.com,15,18,9,18
brandhaard.com,16,16,1,16
fiverr.com,15,15,6,15
koronarealistit.com,13,13,7,13
timtruth.com,6,13,10,13
publichealthontario.ca,13,13,5,13
fos-sa.org,13,13,6,13
igaku-shoin.co.jp,2,12,12,12
nikkan-gendai.com,3,12,12,12
trust.org,10,11,2,11
livejournal.com,7,11,9,11
buzzfeed.com,9,11,11,11
aukema.org,3,11,11,11
zougla.gr,10,11,9,11
sonaeru-san.com,3,10,10,10
evz.ro,3,10,10,10
catbox.moe,4,10,9,10
hhv.gov,4,10,10,10
census.gov,6,9,2,9
godhatesvax.com,8,9,1,9
lbryplayer.xyz,9,9,5,9
2nn.jp,8,8,2,8
pzh.gov.pl,6,8,8,8
e-bmc.co.uk,8,8,7,8
nrk.no,8,8,3,8
leblogalupus.com,8,8,7,8
johnplatinumgoss.com,7,8,6,8
omn.kr,3,8,8,8
fromrome.info,5,7,2,7
dn.no,7,7,6,7
gd.com,7,7,3,7
report24.news,7,7,7,7
noticierouniversal.com,7,7,7,7
google.nl,6,6,6,6
geertvandenbossche.org,6,6,3,6
covexit.com,2,6,6,6
euro.gov,2,6,5,6
mcusercontent.com,6,6,5,6
roxytube.com,6,6,4,6
rett24.no,5,6,6,6
coronalabo.com,3,6,6,6
jennifermargulis.net,6,6,6,6
insurgente.org,5,6,6,6
outlookindia.com,6,6,1,6
philosophersforchange.org,6,6,3,6
hoe2021.com,5,6,6,6
b2n.ir,4,6,6,6
niid.go.jp,5,5,5,5
theconservativedispatch.com,3,5,4,5
pmda.go.jp,4,5,4,5
pro-news.gr,5,5,1,5
vacunas.org,5,5,3,5
hatenablog.com,2,5,5,5
kreately.in,4,5,4,5
srbin.info,5,5,5,5
google.com.au,5,5,4,5
who-umc.org,5,5,3,5
list-manage.com,3,5,4,5
business-standard.com,2,5,5,5
anandabazar.com,3,5,5,5
growkudos.com,5,5,1,5
timesofisrael.com,4,5,5,5
transparenztest.de,5,5,1,5
e24.no,5,5,2,5
centerforhealthsecurity.org,5,5,5,5
factandfurious.com,5,5,5,5
vg.no,5,5,5,5
oral.sk,5,5,3,5
wasedachronicle.org,5,5,5,5
paps.jp,5,5,4,5
outsidermedia.cz,4,5,5,5
nettavisen.no,5,5,3,5
parentingpatch.com,4,4,4,4
ape.st,4,4,4,4
deccanherald.com,4,4,2,4
hollywoodreporter.com,2,4,4,4
legemiddelverket.no,4,4,4,4
wixsite.com,3,4,4,4
ourtube.co.uk,4,4,1,4
aftenposten.no,4,4,4,4
player.fm,4,4,2,4
blog.jp,4,4,4,4
greatreject.org,4,4,4,4
themostimportantnews.com,2,4,4,4
health.mil,4,4,3,4
music.blog,4,4,1,4
visitmy.bio,4,4,1,4
lesdeqodeurs.fr,4,4,2,4
duke.edu,4,4,1,4
ochakai-akasaka.com,4,4,2,4
seattletimes.com,4,4,4,4
virusvaria.nl,4,4,4,4
wikistrike.com,2,4,4,4
ufile.io,4,4,1,4
blogtalkradio.com,4,4,2,4
abovetopsecret.com,3,4,4,4
cw.no,4,4,2,4
ox.ac.uk,4,4,3,4
fox13now.com,4,4,2,4
daum.net,4,4,1,4
aliexpress.com,4,4,2,4
cdc.org,4,4,4,4
wmbriggs.com,4,4,4,4
ad.nl,4,4,3,4
fnn.jp,3,4,4,4
avoin.media,4,4,3,4
oye.news,3,4,4,4
urpl.gov.pl,2,4,4,4
diariodevallarta.com,4,4,2,4
academia.edu,4,4,2,4
marseillenews.net,4,4,3,4
ft.com,4,4,4,4
vietatoparlare.it,4,4,2,4
axiomata.net,3,3,2,3
bidstats.uk,3,3,2,3
uncoverdc.com,2,3,3,3
allfactsmatter.nl,3,3,1,3
namelyliberty.com,3,3,2,3
purebibleforum.com,3,3,1,3
pandata.org,3,3,3,3
health.gov.au,3,3,3,3
motherjones.com,3,3,3,3
fawkes-news.com,3,3,3,3
biomedcentral.com,3,3,3,3
nutritruth.org,3,3,3,3
healthimpactnews.co,3,3,1,3
iltempo.it,2,3,3,3
ican.org,3,3,3,3
technologyreview.com,3,3,3,3
besthinditech.com,3,3,3,3
bestpromotionalcodes.com,3,3,3,3
ko-fi.com,2,3,3,3
vaxxter.com,3,3,3,3
techarp.com,3,2,3,3
dryburgh.com,3,3,3,3
illinois.edu,3,3,3,3
asifthinkingmatters.com,3,3,3,3
vaccineinjurysupport.ca,3,3,1,3
1drv.ms,3,3,3,3
smh.com.au,3,3,2,3
planet-today.com,2,3,3,3
