domain,nodeID,nodeLang,nodeText,nodeTime,nodeUserID,parentID,parentUserID,url,nodeDate
childrenshealthdefense.org,8617,25,6961,8601,4071,6847,4087,364,200
vaers.hhs.gov,3939,25,3355,3937,2589,3250,2555,95,212
openvaers.com,3037,22,2554,3037,1251,2572,1820,98,181
thegatewaypundit.com,3036,14,2018,3017,2411,1888,1419,95,55
cdc.gov,2087,22,2016,2086,1252,1980,1575,160,203
wonder.cdc.gov,1966,23,1719,1966,1171,1665,1292,333,208
medalerts.org,1646,22,1488,1644,617,1419,656,699,198
usa.gov,720,1,4,716,716,2,2,1,22
youtube.com,691,16,585,691,459,563,451,278,159
cnn.it,491,1,10,483,488,8,7,4,9
rumble.com,488,16,323,488,368,319,247,105,111
bitchute.com,431,11,316,431,303,297,231,175,102
bit.ly,396,11,320,395,226,317,218,195,135
reuters.com,380,13,359,380,349,352,322,30,105
dailyexpose.co.uk,374,13,291,374,284,281,248,44,48
plaza.rakuten.co.jp,364,2,194,364,245,162,69,56,57
disq.us,330,6,194,330,275,171,130,35,86
odysee.com,305,6,227,305,171,208,159,68,85
vaccineimpact.com,294,13,275,294,188,276,204,36,68
icandecide.org,293,1,293,292,29,292,233,14,108
secureservercdn.net,268,1,264,268,12,257,201,1,25
afinalwarning.com,262,5,43,262,246,41,36,12,21
humansarefree.com,262,9,244,262,137,252,153,29,70
usatoday.com,219,1,70,219,211,67,61,11,34
chute.rocks,216,6,186,216,181,167,140,85,70
revolver.news,196,2,194,196,139,195,152,9,12
cienciaysaludnatural.com,189,1,180,189,6,186,155,6,11
zerohedge.com,182,3,71,178,160,67,63,11,12
greatgameindia.com,168,6,39,168,149,40,26,17,48
thevaccinereaction.org,161,7,153,161,76,148,137,25,42
ow.ly,158,4,60,158,135,55,35,47,42
greenmedinfo.com,155,7,145,155,122,144,120,93,29
vaers.com,150,3,148,150,86,142,123,6,86
thetruedefender.com,147,7,54,147,140,52,45,8,20
freeworldnews.tv,143,1,24,138,142,20,20,6,9
lifesitenews.com,143,11,139,143,115,135,120,55,61
digital.ahrq.gov,141,4,138,141,82,138,105,8,85
note.com,141,1,36,141,106,31,18,9,24
theepochtimes.com,135,7,133,135,101,131,112,61,52
t.me,134,10,112,134,110,104,95,70,57
noqreport.com,128,5,88,128,109,87,67,20,31
vaersanalysis.byethost3.com,124,2,115,124,7,119,85,3,7
prezi.com,120,1,120,120,11,119,92,7,16
syrianews.cc,118,4,116,118,13,110,69,7,50
ncbi.nlm.nih.gov,117,4,70,117,92,69,48,44,51
welovetrump.com,117,3,110,117,95,99,80,13,20
fullfact.org,116,5,115,116,107,115,106,10,65
globalresearch.ca,116,6,115,116,76,115,87,38,51
brighteon.com,114,6,83,113,105,70,61,19,26
shar.es,113,4,88,113,85,80,53,80,37
google.com,110,9,110,110,81,109,97,51,68
theburningplatform.com,108,2,95,108,77,89,74,8,44
hive.blog,106,1,70,106,12,97,48,3,15
reitschuster.de,106,4,81,106,94,67,59,3,11
medicalkidnap.com,103,4,99,103,59,97,68,15,48
vice.com,102,2,102,102,52,101,82,7,36
frontnieuws.com,101,2,70,101,81,61,45,5,10
factcheck.org,101,5,98,101,84,95,84,17,54
nebraskamed.com,100,2,98,100,86,95,85,2,48
cnn.com,95,3,76,95,90,71,66,14,18
researchgate.net,95,4,41,95,89,41,37,7,21
lewrockwell.com,92,4,84,92,69,77,60,18,32
tiny.iavian.net,89,1,23,87,76,24,11,18,19
crazzfiles.com,88,1,8,88,86,7,7,4,6
trialsitenews.com,88,4,84,88,69,84,74,26,42
thebl.com,87,5,46,87,84,42,39,10,12
threadreaderapp.com,86,4,86,86,25,84,64,36,41
dlvr.it,85,4,82,81,57,78,52,78,41
fda.gov,82,5,76,82,66,80,68,40,53
vaers.gov,82,2,82,82,44,80,65,8,56
vaxxtracker.com,81,3,66,81,19,77,57,5,24
blog.goo.ne.jp,79,1,16,79,74,11,8,11,19
brandnewtube.com,79,5,71,79,63,70,60,39,41
gov.uk,78,7,77,78,51,74,66,10,53
principia-scientific.com,77,8,61,77,59,52,35,20,32
tinyurl.com,76,3,76,76,40,76,57,51,57
apnews.com,75,2,72,75,29,75,65,4,29
facebook.com,75,6,58,75,44,66,51,36,41
trikooba.com,75,1,75,75,53,75,55,15,24
ift.tt,75,4,75,75,31,75,31,51,42
sciencebasedmedicine.org,74,3,74,74,38,72,54,9,41
nvic.org,74,4,44,74,57,43,32,10,34
buff.ly,73,2,71,73,34,68,29,67,48
gnews.org,70,3,32,70,62,30,24,11,17
21stcenturywire.com,68,5,52,68,60,48,44,7,26
thelibertyloft.com,68,2,68,68,64,68,65,11,11
rightsfreedoms.wordpress.com,66,1,66,66,38,66,63,7,22
activenews.ro,65,4,65,65,29,65,52,23,35
hugotalks.com,65,2,25,65,61,20,17,6,9
hpv-vaccine-side-effects.com,64,3,45,64,37,43,35,5,21
thecovidblog.com,63,11,62,63,57,62,59,12,23
sonsoflibertymedia.com,63,5,60,63,37,62,37,22,27
instagram.com,61,4,57,61,41,58,47,45,42
drive.google.com,60,4,56,60,42,53,42,25,34
tumia.org,60,2,60,60,2,46,34,3,19
rui.jp,58,1,11,58,53,7,5,5,6
truth11.com,58,3,28,58,50,23,17,11,19
thefreethoughtproject.com,57,1,54,57,42,55,40,9,19
pubmed.ncbi.nlm.nih.gov,57,3,57,57,36,57,48,28,50
bmj.com,56,2,56,56,40,55,53,18,33
americasfrontlinedoctors.org,54,6,34,54,53,33,33,10,21
slaveplanet.net,54,1,7,54,49,6,3,1,3
covid-101.org,54,2,54,54,48,54,50,2,26
coronavirus-yellowcard.mhra.gov.uk,54,2,46,54,19,46,41,4,28
open-vaers.com,53,1,2,53,53,1,1,1,3
sciencedirect.com,51,4,19,51,47,18,14,10,19
z3news.com,50,2,49,50,39,47,45,10,24
newsweek.com,48,3,35,48,42,34,33,6,28
savaers.co.za,47,1,40,47,5,47,32,5,5
sciencemag.org,47,2,46,47,43,45,42,4,26
ameblo.jp,46,1,28,46,40,22,19,8,13
vaxpain.us,46,3,38,46,33,36,30,6,29
npr.org,45,4,44,45,43,43,43,13,20
politifact.com,45,1,45,45,45,45,43,13,37
forbes.com,43,1,43,43,43,43,42,25,28
unite4truth.com,43,4,42,43,25,38,31,15,22
healthfeedback.org,43,3,40,43,39,42,38,8,30
qnnjapan.wordpress.com,43,1,33,43,16,33,26,1,6
health-infobase.canada.ca,43,1,43,43,13,41,24,4,25
