,Unnamed: 0,domain,scanned url,total,positives,duration[VT],rlength,resolution,server,URL after redirects,Final URL,suspicious_tld,length,fake_tld,brand,pop_keywords,similar,is_idn,minus,num_subdomains,unshorten url
0,171,amzn.to,https://amzn.to/2vawbWK,83,2,0,2280,67.199.248.12,Server,https://www.amazon.com/gp/product/?tag=calculate08-20,https://www.amazon.com/gp/product/?tag=calculate08-20,N,53,0,1,0,1,N,1,1,https://www.amazon.com/gp/product/?tag=calculate08-20
1,220,lnkd.in,https://lnkd.in/eFHFaRi,83,1,0,42685,108.174.10.10,,https://www.linkedin.com/feed/update/urn:li:share:6701209108458086400,https://www.linkedin.com/feed/update/urn:li:share:6701209108458086400,N,69,0,0,0,1,N,0,1,https://www.linkedin.com/feed/update/urn:li:share:6701209108458086400
2,348,tinyurl.com,http://tinyurl.com/yxnnpj7f,83,1,0,130473,104.20.138.65,nginx/1.16.1,http://tatar-congress.org/ru/yanalyklar/video-aydar-galimov-priglashaet-na-prazdnik-v-g-sputnik/,http://tatar-congress.org/ru/yanalyklar/video-aydar-galimov-priglashaet-na-prazdnik-v-g-sputnik/,N,96,0,0,0,0,N,9,0,http://tatar-congress.org/ru/yanalyklar/video-aydar-galimov-priglashaet-na-prazdnik-v-g-sputnik/
3,481,arsitios.com,https://arsitios.com/zonafrancatv/2020/08/17/vacuna-contra-el-coronavirus-rusia-produjo-ya-15-500-dosis-de-sputnik-v/,83,2,0,191720,104.31.70.181,cloudflare,None,https://arsitios.com/zonafrancatv/2020/08/17/vacuna-contra-el-coronavirus-rusia-produjo-ya-15-500-dosis-de-sputnik-v/,N,117,0,0,0,0,N,12,0,https://arsitios.com/zonafrancatv/2020/08/17/vacuna-contra-el-coronavirus-rusia-produjo-ya-15-500-dosis-de-sputnik-v/
4,524,tinyurl.com,https://tinyurl.com/yyztkhl6,83,1,0,39174,104.20.138.65,Apache,http://guiaglobal.com.br/2020/08/17/imunologista-israelense-sputnik-v-garantiria-imunidade-mais-estavel-do-que-a-vacina-de-oxford/,http://guiaglobal.com.br/2020/08/17/imunologista-israelense-sputnik-v-garantiria-imunidade-mais-estavel-do-que-a-vacina-de-oxford/,N,130,0,0,0,0,N,13,1,http://guiaglobal.com.br/2020/08/17/imunologista-israelense-sputnik-v-garantiria-imunidade-mais-estavel-do-que-a-vacina-de-oxford/
5,709,themalaysianreserve.com,https://themalaysianreserve.com/2020/08/18/sputnik-talks-on-margin-trading-curbs-wipe-rm34b-of-glove-stocks-value/,83,1,0,92528,172.67.211.79,cloudflare,None,https://themalaysianreserve.com/2020/08/18/sputnik-talks-on-margin-trading-curbs-wipe-rm34b-of-glove-stocks-value/,N,114,0,0,0,0,N,11,0,https://themalaysianreserve.com/2020/08/18/sputnik-talks-on-margin-trading-curbs-wipe-rm34b-of-glove-stocks-value/
6,817,libero.pe,https://libero.pe/ocio/1578355-coronavirus-nicolas-maduro-anuncio-sera-vacunarse-covid-19-venezuela-vacuna-rusa-sputnik,83,1,0,118116,151.101.194.207,nginx,None,https://libero.pe/ocio/1578355-coronavirus-nicolas-maduro-anuncio-sera-vacunarse-covid-19-venezuela-vacuna-rusa-sputnik,N,119,0,0,0,0,N,12,0,https://libero.pe/ocio/1578355-coronavirus-nicolas-maduro-anuncio-sera-vacunarse-covid-19-venezuela-vacuna-rusa-sputnik
7,865,dursamj.mn,http://dursamj.mn/gadaad-medee/16561-turshilt-n-duusaagy-ch-sputnik-v-vakcinaas-vputin-aysangy.html,83,1,0,210834,43.231.115.88,nginx,None,http://dursamj.mn/gadaad-medee/16561-turshilt-n-duusaagy-ch-sputnik-v-vakcinaas-vputin-aysangy.html,N,99,0,0,0,0,N,10,1,http://dursamj.mn/gadaad-medee/16561-turshilt-n-duusaagy-ch-sputnik-v-vakcinaas-vputin-aysangy.html
8,933,tinyurl.com,http://tinyurl.com/y3jm5vhf,83,1,0,87332,104.20.138.65,nginx,https://www.pravda.ru/news/expert/1521730-izrailskij_immunolog/,https://www.pravda.ru/news/expert/1521730-izrailskij_immunolog/,N,63,0,0,0,0,N,1,1,https://www.pravda.ru/news/expert/1521730-izrailskij_immunolog/
9,1020,lnkd.in,https://lnkd.in/dnA58f6,83,1,0,147413,108.174.10.10,nginx,https://ns2017.wordpress.com/2020/08/16/sputnik-comment-empecher-les-migrants-de-passer-de-france-en-angleterre/,https://ns2017.wordpress.com/2020/08/16/sputnik-comment-empecher-les-migrants-de-passer-de-france-en-angleterre/,N,112,0,0,0,0,N,10,1,https://ns2017.wordpress.com/2020/08/16/sputnik-comment-empecher-les-migrants-de-passer-de-france-en-angleterre/
